pc       (rd rd  wdata   ) (wen wadd     wdata    | radd    )
00000200 (03  gp 00031200) (000 00000000 00000000 | 00000000)
00000200 (03  gp 00030e38) (000 00000000 00000000 | 00000000)
00000204 (10  a0 00030648) (000 00000000 00000000 | 00000000)
00000208 (12  a2 00030670) (000 00000000 00000000 | 00000000)
0000020c (12  a2 00000028) (000 00000000 00000000 | 00000000)
00000210 (11  a1 00000000) (000 00000000 00000000 | 00000000)
00000214 (01  ra 0000021c) (000 00000000 00000000 | 00000000)
00000218 (06  t1 0000000f) (000 00000000 00000000 | 00000000)
0000055c (14  a4 00030648) (000 00000000 00000000 | 00000000)
00000564 (15  a5 00000008) (000 00000000 00000000 | 00000000)
0000056c (13  a3 00000020) (000 00000000 00000000 | 00000000)
0000060c (05  t0 00000610) (000 00000000 00000000 | 00000000)
00000610 (13  a3 00000630) (000 00000000 00000000 | 00000000)
00000614 (05  t0 0000021c) (000 00000000 00000000 | 00000000)
00000618 (01  ra 00000620) (000 00000000 00000000 | 00000000)
0000061c (00 000 00000000) (001 0003064f 00000000 | 00000000)
000005d0 (00 000 00000000) (001 0003064e 00000000 | 00000000)
000005d4 (00 000 00000000) (001 0003064d 00000000 | 00000000)
000005d8 (00 000 00000000) (001 0003064c 00000000 | 00000000)
000005dc (00 000 00000000) (001 0003064b 00000000 | 00000000)
000005e0 (00 000 00000000) (001 0003064a 00000000 | 00000000)
000005e4 (00 000 00000000) (001 00030649 00000000 | 00000000)
000005e8 (00 000 00000000) (001 00030648 00000000 | 00000000)
000005f0 (01  ra 0000021c) (000 00000000 00000000 | 00000000)
00000620 (15  a5 fffffff8) (000 00000000 00000000 | 00000000)
00000624 (14  a4 00030650) (000 00000000 00000000 | 00000000)
00000628 (12  a2 00000020) (000 00000000 00000000 | 00000000)
00000570 (13  a3 00000020) (000 00000000 00000000 | 00000000)
00000574 (12  a2 00000000) (000 00000000 00000000 | 00000000)
00000578 (13  a3 00030670) (000 00000000 00000000 | 00000000)
0000057c (00 000 00000000) (100 00030650 00000000 | 00000000)
00000580 (00 000 00000000) (100 00030654 00000000 | 00000000)
00000584 (00 000 00000000) (100 00030658 00000000 | 00000000)
00000588 (00 000 00000000) (100 0003065c 00000000 | 00000000)
0000058c (14  a4 00030660) (000 00000000 00000000 | 00000000)
00000594 (00 000 00000000) (100 00030660 00000000 | 00000000)
00000580 (00 000 00000000) (100 00030664 00000000 | 00000000)
00000584 (00 000 00000000) (100 00030668 00000000 | 00000000)
00000588 (00 000 00000000) (100 0003066c 00000000 | 00000000)
0000058c (14  a4 00030670) (000 00000000 00000000 | 00000000)
0000059c (10  a0 0000021c) (000 00000000 00000000 | 00000000)
0000021c (10  a0 000007b0) (000 00000000 00000000 | 00000000)
00000224 (10  a0 00000228) (000 00000000 00000000 | 00000000)
00000228 (10  a0 0000075c) (000 00000000 00000000 | 00000000)
0000022c (01  ra 00000234) (000 00000000 00000000 | 00000000)
00000230 (11  a1 0000075c) (000 00000000 00000000 | 00000000)
000007b0 (13  a3 00000000) (000 00000000 00000000 | 00000000)
000007b4 (12  a2 00000000) (000 00000000 00000000 | 00000000)
000007b8 (10  a0 00000000) (000 00000000 00000000 | 00000000)
000007c0 (15  a5 00030000) (000 00000000 00000000 | 00000000)
000007c4 (14  a4 00030200) (000 00000000 00000000 | 00030638)
000007c8 (15  a5 00000000) (000 00000000 00000000 | 00030348)
000007d0 (15  a5 0003034c) (000 00000000 00000000 | 00000000)
00000828 (00 000 00000000) (100 00030348 0003034c | 00000000)
00000830 (14  a4 00000000) (000 00000000 00000000 | 00030350)
000007d4 (16  a6 0000001f) (000 00000000 00000000 | 00000000)
000007dc (16  a6 00000000) (000 00000000 00000000 | 00000000)
000007e4 (14  a4 00000001) (000 00000000 00000000 | 00000000)
00000810 (00 000 00000000) (100 00030350 00000001 | 00000000)
00000814 (15  a5 0003034c) (000 00000000 00000000 | 00000000)
00000818 (00 000 00000000) (100 00030354 0000075c | 00000000)
0000081c (10  a0 00000000) (000 00000000 00000000 | 00000000)
00000824 (01  ra 00000238) (000 00000000 00000000 | 00000000)
00000234 (02  sp 0002eff0) (000 00000000 00000000 | 00000000)
000004d0 (00 000 00000000) (100 0002eff8 00000000 | 00000000)
000004d4 (00 000 00000000) (100 0002eff0 00000000 | 00000000)
